MONTH,TYPE,DESCRIPTION,VALUE,DATE
2025-11-01,FIXED_COST,IMPOSTO DAS MEI,80.9,2025-11-07
2025-11-01,FIXED_COST,INTERNET,90.0,2025-11-07
2025-11-01,VARIABLE_COST,CARTAO NUBANK,1165.71,2025-11-07
2025-11-01,INCOME,SALARIO SEMED,2666.0,2025-11-07
2025-12-01,FIXED_COST,IMPOSTO DAS MEI,80.9,2025-12-08
2025-12-01,FIXED_COST,INTERNET,90.0,2025-12-08
2025-12-01,VARIABLE_COST,CARTAO NUBANK,712.53,2025-12-08
2025-12-01,INCOME,SALARIO SEMED,2666.0,2025-12-08
2026-01-01,FIXED_COST,IMPOSTO DAS MEI,80.9,2026-01-07
2026-01-01,FIXED_COST,INTERNET,90.0,2026-01-07
2026-01-01,VARIABLE_COST,CARTAO NUBANK,564.46,2026-01-07
2026-01-01,INCOME,SALARIO SEMED,2666.0,2026-01-07
2026-02-01,FIXED_COST,IMPOSTO DAS MEI,80.9,2026-02-09
2026-02-01,FIXED_COST,INTERNET,90.0,2026-02-09
2026-02-01,VARIABLE_COST,CARTAO NUBANK,421.68,2026-02-09
2026-02-01,INCOME,SALARIO SEMED,2666.0,2026-02-09
2026-03-01,FIXED_COST,IMPOSTO DAS MEI,80.9,2026-03-09
2026-03-01,FIXED_COST,INTERNET,90.0,2026-03-09
2026-03-01,VARIABLE_COST,CARTAO NUBANK,378.87,2026-03-09
2026-03-01,INCOME,SALARIO SEMED,2666.0,2026-03-09
2026-04-01,FIXED_COST,IMPOSTO DAS MEI,80.9,2026-04-07
2026-04-01,FIXED_COST,INTERNET,90.0,2026-04-07
2026-04-01,VARIABLE_COST,CARTAO NUBANK,378.87,2026-04-07
2026-04-01,INCOME,SALARIO SEMED,2666.0,2026-04-07
2026-05-01,FIXED_COST,IMPOSTO DAS MEI,80.9,2026-05-07
2026-05-01,FIXED_COST,INTERNET,90.0,2026-05-07
2026-05-01,VARIABLE_COST,CARTAO NUBANK,378.87,2026-05-07
2026-05-01,INCOME,SALARIO SEMED,2666.0,2026-05-07
2026-06-01,FIXED_COST,IMPOSTO DAS MEI,80.9,2026-06-08
2026-06-01,FIXED_COST,INTERNET,90.0,2026-06-08
2026-06-01,VARIABLE_COST,CARTAO NUBANK,318.87,2026-06-08
2026-06-01,INCOME,SALARIO SEMED,2666.0,2026-06-08
2026-07-01,FIXED_COST,IMPOSTO DAS MEI,80.9,2026-07-08
2026-07-01,FIXED_COST,INTERNET,90.0,2026-07-08
2026-07-01,VARIABLE_COST,CARTAO NUBANK,287.38,2026-07-08
2026-07-01,INCOME,SALARIO SEMED,2666.0,2026-07-08
2026-08-01,INCOME,SALARIO SEMED,2666.0,2026-08-08
2026-09-01,INCOME,SALARIO SEMED,2666.0,2026-09-08
2026-10-01,INCOME,SALARIO SEMED,2666.0,2026-10-08
2026-11-01,INCOME,SALARIO SEMED,2666.0,2026-11-08
2025-11-01,FIXED_COST,BOLETO FIES,434.34,2025-11-19
2025-12-01,FIXED_COST,BOLETO FIES,434.34,2025-12-19
2026-01-01,FIXED_COST,BOLETO FIES,434.34,2026-01-19
2026-02-01,FIXED_COST,BOLETO FIES,434.34,2026-02-19
2026-03-01,FIXED_COST,BOLETO FIES,434.34,2026-03-19
2026-04-01,FIXED_COST,BOLETO FIES,434.34,2026-04-19
2026-05-01,FIXED_COST,BOLETO FIES,434.34,2026-05-19
2026-06-01,FIXED_COST,BOLETO FIES,434.34,2026-06-19
2026-07-01,FIXED_COST,BOLETO FIES,434.34,2026-07-19
2026-08-01,FIXED_COST,BOLETO FIES,434.34,2026-08-19
2026-09-01,FIXED_COST,BOLETO FIES,434.34,2026-09-19
2026-10-01,FIXED_COST,BOLETO FIES,434.34,2026-10-19
2026-11-01,FIXED_COST,BOLETO FIES,434.34,2026-11-19
2026-12-01,FIXED_COST,BOLETO FIES,434.34,2026-12-19
2027-01-01,FIXED_COST,BOLETO FIES,434.34,2027-01-19
2025-11-01,FIXED_COST,B3 INVESTMENTS,300.0,2025-11-05
2025-12-01,FIXED_COST,B3 INVESTMENTS,300.0,2025-12-05
2026-01-01,FIXED_COST,B3 INVESTMENTS,300.0,2026-01-05
2026-02-01,FIXED_COST,B3 INVESTMENTS,300.0,2026-02-05
2026-03-01,FIXED_COST,B3 INVESTMENTS,300.0,2026-03-05
2026-04-01,FIXED_COST,B3 INVESTMENTS,300.0,2026-04-05
2026-05-01,FIXED_COST,B3 INVESTMENTS,300.0,2026-05-05
2026-06-01,FIXED_COST,B3 INVESTMENTS,300.0,2026-06-05
2026-07-01,FIXED_COST,B3 INVESTMENTS,300.0,2026-07-05
2026-08-01,FIXED_COST,B3 INVESTMENTS,300.0,2026-08-05
2026-09-01,FIXED_COST,B3 INVESTMENTS,300.0,2026-09-05
2026-10-01,FIXED_COST,B3 INVESTMENTS,300.0,2026-10-05
2026-11-01,FIXED_COST,B3 INVESTMENTS,300.0,2026-11-05
2026-12-01,FIXED_COST,B3 INVESTMENTS,300.0,2026-12-05
2027-01-01,FIXED_COST,B3 INVESTMENTS,300.0,2027-01-05
2026-12-01,INCOME,SALARIO SEMED,2666.0,2026-12-08
2027-01-01,INCOME,SALARIO SEMED,2666.0,2027-01-08
2026-08-01,FIXED_COST,IMPOSTO DAS MEI,80.9,2026-08-08
2026-09-01,FIXED_COST,IMPOSTO DAS MEI,80.9,2026-09-08
2026-10-01,FIXED_COST,IMPOSTO DAS MEI,80.9,2026-10-08
2026-11-01,FIXED_COST,IMPOSTO DAS MEI,80.9,2026-11-08
2026-12-01,FIXED_COST,IMPOSTO DAS MEI,80.9,2026-12-08
2027-01-01,FIXED_COST,IMPOSTO DAS MEI,80.9,2027-01-08
2025-11-01,FIXED_COST,PASSAGEM ONIBUS,100.0,2025-11-01
2025-12-01,FIXED_COST,PASSAGEM ONIBUS,100.0,2025-12-01
2026-01-01,FIXED_COST,PASSAGEM ONIBUS,100.0,2026-01-01
2026-02-01,FIXED_COST,PASSAGEM ONIBUS,100.0,2026-02-01
2026-03-01,FIXED_COST,PASSAGEM ONIBUS,100.0,2026-03-01
2026-04-01,FIXED_COST,PASSAGEM ONIBUS,100.0,2026-04-01
2026-05-01,FIXED_COST,PASSAGEM ONIBUS,100.0,2026-05-01
2026-06-01,FIXED_COST,PASSAGEM ONIBUS,100.0,2026-06-01
2026-07-01,FIXED_COST,PASSAGEM ONIBUS,100.0,2026-07-01
2026-08-01,FIXED_COST,PASSAGEM ONIBUS,100.0,2026-08-01
2026-09-01,FIXED_COST,PASSAGEM ONIBUS,100.0,2026-09-01
2026-10-01,FIXED_COST,PASSAGEM ONIBUS,100.0,2026-10-01
2026-11-01,FIXED_COST,PASSAGEM ONIBUS,100.0,2026-11-01
2026-12-01,FIXED_COST,PASSAGEM ONIBUS,100.0,2026-12-01
2027-01-01,FIXED_COST,PASSAGEM ONIBUS,100.0,2027-01-01
2025-11-01,FIXED_COST,AJUDA COM AGUA/LUZ,300.0,2025-11-01
2025-12-01,FIXED_COST,AJUDA COM AGUA/LUZ,300.0,2025-12-01
2026-01-01,FIXED_COST,AJUDA COM AGUA/LUZ,300.0,2026-01-01
2026-02-01,FIXED_COST,AJUDA COM AGUA/LUZ,300.0,2026-02-01
2026-03-01,FIXED_COST,AJUDA COM AGUA/LUZ,300.0,2026-03-01
2026-04-01,FIXED_COST,AJUDA COM AGUA/LUZ,300.0,2026-04-01
2026-05-01,FIXED_COST,AJUDA COM AGUA/LUZ,300.0,2026-05-01
2026-06-01,FIXED_COST,AJUDA COM AGUA/LUZ,300.0,2026-06-01
2026-07-01,FIXED_COST,AJUDA COM AGUA/LUZ,300.0,2026-07-01
2026-08-01,FIXED_COST,AJUDA COM AGUA/LUZ,300.0,2026-08-01
2026-09-01,FIXED_COST,AJUDA COM AGUA/LUZ,300.0,2026-09-01
2026-10-01,FIXED_COST,AJUDA COM AGUA/LUZ,300.0,2026-10-01
2026-11-01,FIXED_COST,AJUDA COM AGUA/LUZ,300.0,2026-11-01
2026-12-01,FIXED_COST,AJUDA COM AGUA/LUZ,300.0,2026-12-01
2027-01-01,FIXED_COST,AJUDA COM AGUA/LUZ,300.0,2027-01-01
2025-10-01,VARIABLE_COST,MONITOR E AFINS,333.344,2025-10-22
2025-11-01,VARIABLE_COST,MONITOR E AFINS,333.344,2025-11-22
2025-12-01,VARIABLE_COST,MONITOR E AFINS,333.344,2025-12-22
2026-01-01,VARIABLE_COST,MONITOR E AFINS,333.344,2026-01-22
2026-02-01,VARIABLE_COST,MONITOR E AFINS,333.344,2026-02-22
2025-10-01,VARIABLE_COST,MONITOR E AFINS,38.436,2025-10-22
2025-11-01,VARIABLE_COST,MONITOR E AFINS,38.436,2025-11-22
2025-12-01,VARIABLE_COST,MONITOR E AFINS,38.436,2025-12-22
2026-01-01,VARIABLE_COST,MONITOR E AFINS,38.436,2026-01-22
2026-02-01,VARIABLE_COST,MONITOR E AFINS,38.436,2026-02-22
